T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss.ccccc
6.75174000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1519.9420000000 2605.3300000000 166.3974000000 165 2024-01-10 18:52:01
6.71888000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1526.7200000000 2619.1800000000 166.7364000000 166 2024-01-10 18:52:05
6.68500000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1533.8240000000 2633.7340000000 167.0910000000 167 2024-01-10 18:52:08
6.65112000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1540.9520000000 2647.7600000000 167.4338000000 168 2024-01-10 18:52:11
6.62082000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1547.2740000000 2660.1940000000 167.7378000000 169 2024-01-10 18:52:15
6.58972000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1553.8000000000 2673.8860000000 168.0696000000 170 2024-01-10 18:52:18
6.55722000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1560.7760000000 2687.7140000000 168.4040000000 171 2024-01-10 18:52:21
6.52796000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1566.9620000000 2700.2020000000 168.7024000000 172 2024-01-10 18:52:24
6.50032000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1572.9320000000 2713.0000000000 168.9876000000 173 2024-01-10 18:52:28
6.47238000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1578.9060000000 2725.5200000000 169.2856000000 174 2024-01-10 18:52:31
6.44132000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1585.5900000000 2738.9600000000 169.6098000000 175 2024-01-10 18:52:34
6.41186000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1591.9680000000 2752.0400000000 169.9194000000 176 2024-01-10 18:52:38
6.38126000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1598.5740000000 2765.5600000000 170.2390000000 177 2024-01-10 18:52:41
6.35128000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1605.1400000000 2778.6400000000 170.5508000000 178 2024-01-10 18:52:44
6.32312000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1611.4060000000 2791.3800000000 170.8530000000 179 2024-01-10 18:52:47
6.29994000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1617.4580000000 2803.5600000000 171.1368000000 180 2024-01-10 18:52:51
6.27668000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1623.5940000000 2816.0400000000 171.4282000000 181 2024-01-10 18:52:54
